state,zone,overweight_obese_w,overweight_obese_m,education_w,education_m,income,tobacco_w,tobacco_m,alcohol_w,alcohol_m,internet_w,internet_m,blood_sugar_w,blood_sugar_m,bp_w,bp_m
Andaman and Nicobar Islands,South,38.1,45.3,52.5,52.3,197278,31.3,58.7,5.0,39.1,34.8,46.5,17.5,17.9,25.3,30.2
Andhra Pradesh,South,36.3,31.1,39.6,47.9,163746,3.8,22.6,0.5,23.3,21.0,48.8,19.5,21.8,25.3,29.0
Arunachal Pradesh,Northeast,23.9,27.6,39.4,48.2,190212,18.8,50.3,24.2,52.7,52.9,71.6,8.4,11.9,24.9,33.1
Assam,Northeast,15.2,16.2,29.6,35.5,90482,22.1,51.8,7.3,25.1,28.2,42.3,12.8,16.0,19.1,20.3
Bihar,East,15.9,14.7,28.8,42.8,43605,5.0,48.8,0.4,15.5,20.6,43.6,12.7,16.2,15.9,18.4
Chandigarh,North,44.0,34.4,59.6,64.5,291194,0.6,12.1,0.3,18.6,75.2,91.9,19.0,16.6,25.0,30.6
Chhattisgarh,Central,14.1,14.9,36.9,41.5,104788,17.3,43.1,5.0,34.8,26.7,56.3,9.0,10.8,23.6,27.7
Dadra and Nagar Haveli and Daman and Diu,West,26.8,21.4,35.8,49.4,,2.9,38.6,1.1,27.8,36.7,68.3,13.6,16.4,14.9,15.4
Goa,West,36.1,32.6,71.5,76.6,431351,2.6,18.2,5.5,36.9,73.7,82.9,20.8,24.1,27.5,26.8
Gujarat,West,22.6,19.9,33.8,45.6,212821,8.7,41.1,0.6,5.8,30.8,58.9,15.8,16.9,20.6,20.3
Haryana,North,33.1,28.3,49.5,62.2,229065,2.5,29.1,0.3,16.1,48.4,72.4,11.9,13.5,21.0,25.1
Himachal Pradesh,North,30.4,30.6,65.9,71.3,183333,1.7,32.3,0.6,31.9,49.7,67.9,13.9,14.7,22.2,24.4
Jammu and Kashmir,North,29.3,31.6,51.3,68.2,102803,3.6,38.3,0.2,8.8,43.3,72.0,8.7,8.0,20.0,18.9
Jharkhand,East,11.9,15.1,33.2,46.6,71071,8.4,47.4,6.1,35.0,31.4,58.0,10.2,14.1,17.8,22.6
Karnataka,South,30.1,30.9,50.2,56.5,221310,8.5,27.1,0.9,16.5,35.5,62.4,14.0,15.6,25.0,26.9
Kerala,South,38.1,36.4,77.0,73.3,194322,2.2,16.9,0.2,19.9,61.1,76.1,24.8,27.0,30.9,32.8
Ladakh,North,28.3,37.8,56.4,67.8,,3.2,35.7,3.8,23.6,56.4,67.8,6.7,8.3,15.7,17.4
Lakshadweep,South,33.5,41.3,67.8,80.9,,17.5,28.5,0.3,0.4,56.4,80.3,19.5,20.7,24.8,24.7
Madhya Pradesh,Central,16.6,15.6,29.3,39.9,103654,10.2,46.5,1.0,17.1,26.9,55.7,9.8,12.2,20.6,22.7
Maharashtra,West,23.4,24.7,50.4,61.0,183704,10.9,33.8,0.4,13.9,38.0,61.5,12.4,13.6,23.1,24.4
Manipur,Northeast,34.1,30.3,48.1,58.7,79797,43.1,58.1,0.9,37.5,44.8,73.9,13.6,16.5,23.0,33.2
Meghalaya,Northeast,11.5,13.9,35.1,34.7,84638,28.2,57.7,1.5,32.4,34.7,42.1,9.5,13.9,18.7,21.4
Mizoram,Northeast,24.2,31.9,50.0,49.1,187838,61.6,72.9,0.9,23.8,67.6,79.7,13.8,15.4,17.7,25.2
Nagaland,Northeast,14.4,23.9,44.4,53.1,126452,13.7,48.4,0.9,24.0,49.9,64.6,9.3,12.4,22.4,28.7
NCT Delhi,North,41.3,38.0,59.7,60.9,331112,2.2,26.3,0.5,21.6,63.8,85.2,12.2,14.1,24.1,32.8
Odisha,East,23.0,22.2,33.0,38.6,102166,26.0,51.6,4.3,28.8,24.9,50.7,14.0,17.0,22.4,25.6
Puducherry,South,46.2,43.3,65.4,74.2,203178,2.6,14.8,0.3,27.7,61.9,80.7,20.1,21.7,23.0,30.1
Punjab,North,40.8,32.2,56.0,58.7,149193,0.4,12.9,0.3,22.8,54.8,78.2,14.7,14.1,31.2,37.7
Rajasthan,North,12.9,15.0,33.4,51.9,115122,6.9,42.0,0.3,11.0,36.9,65.2,7.2,8.9,15.4,17.9
Sikkim,Northeast,34.7,36.3,49.0,55.0,412754,11.7,41.3,16.2,39.8,76.7,78.2,12.2,15.7,34.5,41.6
Tamil Nadu,South,40.4,37.0,56.6,59.1,212174,4.9,20.1,0.3,25.4,46.9,70.2,20.7,22.1,24.8,30.2
Telangana,South,30.1,32.3,45.5,61.2,225687,5.6,22.3,6.7,43.3,26.5,57.4,14.7,18.1,26.1,31.4
Tripura,Northeast,21.5,23.4,23.2,29.4,119789,50.4,56.9,6.2,33.1,22.9,45.7,17.7,19.3,20.9,22.7
Uttar Pradesh,Central,21.3,18.5,39.3,48.6,61374,8.4,44.1,0.3,14.6,30.6,59.1,10.0,11.6,18.4,21.7
Uttarakhand,Central,29.7,27.1,50.4,59.8,184002,4.6,33.7,0.3,25.5,45.1,74.6,10.8,14.3,22.9,31.8
West Bengal,East,22.7,16.2,32.9,34.7,126510,10.8,48.1,1.1,18.1,25.5,46.7,17.5,21.3,20.5,20.1
